Time,CPILFESL_PCH,TB3MS
1980-01,1.32100,12.00
1980-02,1.04302,12.86
1980-03,1.41935,15.20
1980-04,1.14504,13.20
1980-05,0.75472,8.58
1980-06,1.12360,7.07
1980-07,-0.24691,8.06
1980-08,0.61881,9.13
1980-09,0.98401,10.27
1980-10,1.09622,11.62
1980-11,1.08434,13.73
1980-12,1.19190,15.49
1981-01,0.58893,15.02
1981-02,0.58548,14.79
1981-03,0.58207,13.36
1981-04,0.69444,13.69
1981-05,0.91954,16.30
1981-06,0.91116,14.73
1981-07,1.35440,14.95
1981-08,1.00223,15.51
1981-09,1.21279,14.70
1981-10,0.32680,13.54
1981-11,0.43431,10.86
1981-12,0.54054,10.85
1982-01,0.32258,12.28
1982-02,0.53591,13.48
1982-03,0.10661,12.68
1982-04,0.85197,12.70
1982-05,0.73918,12.09
1982-06,0.73375,12.47
1982-07,0.62435,11.35
1982-08,0.41365,8.68
1982-09,0.10299,7.92
1982-10,0.30864,7.71
1982-11,-0.20513,8.07
1982-12,-0.10277,7.94
1983-01,0.41152,7.86
1983-02,0.40984,8.11
1983-03,0.20408,8.35
1983-04,0.40733,8.21
1983-05,0.30426,8.19
1983-06,0.30334,8.79
1983-07,0.60484,9.08
1983-08,0.30060,9.34
1983-09,0.39960,9.00
1983-10,0.49751,8.64
1983-11,0.49505,8.76
1983-12,0.29557,9.00
1984-01,0.68762,8.90
1984-02,0.29268,9.09
1984-03,0.38911,9.52
1984-04,0.48450,9.69
1984-05,0.38573,9.83
1984-06,0.38425,9.87
1984-07,0.47847,10.12
1984-08,0.38095,10.47
1984-09,0.37951,10.37
1984-10,0.37807,9.74
1984-11,0.18832,8.61
1984-12,0.37594,8.06
1985-01,0.28090,7.76
1985-02,0.56022,8.27
1985-03,0.37140,8.52
1985-04,0.27752,7.95
1985-05,0.36900,7.48
1985-06,0.27574,6.95
1985-07,0.27498,7.08
1985-08,0.36563,7.14
1985-09,0.18215,7.10
1985-10,0.45455,7.16
1985-11,0.54299,7.24
1985-12,0.27003,7.10
1986-01,0.44883,7.07
1986-02,0.26810,7.06
1986-03,0.26738,6.56
1986-04,0.35556,6.06
1986-05,0.17715,6.15
1986-06,0.26525,6.21
1986-07,0.35273,5.83
1986-08,0.35149,5.53
1986-09,0.35026,5.21
1986-10,0.34904,5.18
1986-11,0.26087,5.35
1986-12,0.26019,5.53
1987-01,0.25952,5.43
1987-02,0.25884,5.59
1987-03,0.34423,5.59
1987-04,0.60034,5.64
1987-05,0.34101,5.66
1987-06,0.16992,5.67
1987-07,0.33927,5.69
1987-08,0.33812,6.04
1987-09,0.42123,6.40
1987-10,0.50336,6.13
1987-11,0.25042,5.69
1987-12,0.24979,5.77
1988-01,0.41528,5.81
1988-02,0.24814,5.66
1988-03,0.41254,5.70
1988-04,0.49302,5.91
1988-05,0.32706,6.26
1988-06,0.40750,6.46
1988-07,0.32468,6.73
1988-08,0.32362,7.06
1988-09,0.56452,7.24
1988-10,0.40096,7.35
1988-11,0.31949,7.76
1988-12,0.31847,8.07
1989-01,0.39683,8.27
1989-02,0.31621,8.53
1989-03,0.39401,8.82
1989-04,0.31397,8.65
1989-05,0.39124,8.43
1989-06,0.38971,8.15
1989-07,0.31056,7.88
1989-08,0.23220,7.90
1989-09,0.30888,7.75
1989-10,0.53888,7.64
1989-11,0.38285,7.69
1989-12,0.38139,7.63
1990-01,0.37994,7.64
1990-02,0.45420,7.74
1990-03,0.60286,7.90
1990-04,0.37453,7.77
1990-05,0.29851,7.74
1990-06,0.52083,7.73
1990-07,0.51813,7.62
1990-08,0.58910,7.45
1990-09,0.36603,7.36
1990-10,0.36470,7.17
1990-11,0.29070,7.06
1990-12,0.43478,6.74
1991-01,0.64935,6.22
