Time,UNEMP,EMP,PCE,PCE_SERV,PCE_price,PCE_SERV_price,PCE_CORE_price
1988-12,5.3,1157.96304,406.671579,370.153515,408.222137,393.56028,411.669297
1989-01,5.4,1158.20877,406.85135,370.212749,408.733673,394.039664,412.173273
1989-02,5.2,1158.45668,406.642936,370.875957,409.065443,394.392857,412.427546
1989-03,5,1158.63711,406.579744,370.738992,409.437789,394.814276,412.726341
1989-04,5.2,1158.79494,407.170689,370.842839,410.102222,395.168593,413.059613
1989-05,5.2,1158.90806,407.055193,371.076673,410.465786,395.49867,413.35813
1989-06,5.3,1159.01365,407.251866,371.126531,410.684938,395.827662,413.623798
1989-07,5.2,1159.05252,407.547582,371.425793,410.923317,396.161285,413.880792
1989-08,5.2,1159.0997,408.504693,371.657023,410.934811,396.448262,414.020982
1989-09,5.3,1159.32973,408.31755,371.924691,411.157853,396.774149,414.367426
1989-10,5.3,1159.42842,408.250933,372.334471,411.546984,397.136681,414.728483
1989-11,5.4,1159.68253,408.299104,372.38671,411.76541,397.443427,414.993694
1989-12,5.4,1159.75974,409.126046,373.101765,412.054823,397.878405,415.278641
1990-01,5.4,1160.09272,409.62495,372.667776,412.810166,398.263057,415.663055
1990-02,5.3,1160.3086,409.118984,373.123085,413.249098,398.594239,416.147348
1990-03,5.2,1160.4994,409.456297,373.576713,413.625397,399.159175,416.626204
1990-04,5.4,1160.5377,409.648478,374.023256,413.83455,399.511337,416.923556
1990-05,5.4,1160.67709,409.577575,374.338869,414.059181,399.862263,417.229277
1990-06,5.2,1160.69257,409.893387,374.62487,414.500599,400.376318,417.617029
1990-07,5.5,1160.66344,410.097613,374.951693,414.74745,400.595041,417.868571
1990-08,5.7,1160.47386,410.12807,375.266858,415.410607,401.15425,418.284372
1990-09,5.9,1160.38442,410.080969,375.162937,416.022593,401.521116,418.633104
1990-10,5.9,1160.24645,409.522854,375.070724,416.593628,401.913598,418.971535
1990-11,6.2,1160.10645,409.43084,374.748557,416.719222,402.134367,419.091153
1990-12,6.3,1160.06249,409.062218,374.843855,416.813701,402.254418,419.231786
1991-01,6.4,1159.96076,408.156533,374.513733,417.19227,402.774169,419.729217
1991-02,6.6,1159.66598,408.77252,374.854485,417.243151,403.000158,420.004002
1991-03,6.8,1159.51872,409.941233,375.071051,417.26473,403.209675,420.212215
1991-04,6.7,1159.32512,409.610188,375.633575,417.444881,403.328443,420.411036
1991-05,6.9,1159.21894,409.861483,375.857132,417.859379,403.826792,420.81047
1991-06,6.9,1159.29743,409.878532,375.917219,418.027758,404.115473,421.025919
1991-07,6.8,1159.25866,410.366166,376.205244,418.185165,404.403324,421.329728
1991-08,6.9,1159.27528,410.212462,376.228434,418.417003,404.685106,421.604584
1991-09,6.9,1159.29928,410.261011,376.279601,418.760719,405.128047,422.003698
1991-10,7,1159.31866,409.854351,376.317267,418.948806,405.425147,422.223927
1991-11,7,1159.26235,410.328137,376.986392,419.166787,405.562106,422.410009
1991-12,7.3,1159.29189,410.498674,377.180888,419.417481,405.964959,422.657094
1992-01,7.3,1159.32973,411.947219,378.079655,419.553138,406.269908,422.926873
1992-02,7.4,1159.2762,412.056157,378.178599,419.805872,406.585935,423.198832
1992-03,7.4,1159.32604,412.240524,379.093898,420.047478,406.88216,423.448325
1992-04,7.4,1159.46806,412.32118,378.998114,420.318402,407.259304,423.775203
1992-05,7.6,1159.58778,412.838709,379.257129,420.449857,407.376764,423.916615
1992-06,7.8,1159.64851,413.108414,379.422723,420.628836,407.521271,423.99445
1992-07,7.7,1159.72023,413.440581,379.974481,420.95762,407.928168,424.371239
1992-08,7.6,1159.84149,413.689161,380.093056,421.091204,408.051605,424.463064
1992-09,7.6,1159.87269,414.337822,380.770513,421.254233,408.306451,424.624987
1992-10,7.3,1160.03776,414.673047,380.858204,421.607535,408.800786,425.009396
1992-11,7.4,1160.15955,414.845054,381.592289,421.803603,409.058751,425.227381
1992-12,7.4,1160.36342,415.502741,381.707987,421.977238,409.314384,425.412224
1993-01,7.3,1160.63612,415.358097,381.316832,422.220993,409.672506,425.703014
1993-02,7.1,1160.86356,415.542936,382.105992,422.371941,409.818717,425.89405
1993-03,7,1160.81811,415.273819,381.878815,422.576748,410.194891,426.111527
1993-04,7.1,1161.09229,415.943497,382.072771,422.842372,410.515261,426.401701
