Time,dl_y,dl_cpi,ir_tb,stock_index
1947-Q2,1.30774238,1.418463499,0.38,0.66
1947-Q3,1.531053276,2.157387043,0.74,0.62
1947-Q4,3.997397412,2.793000017,0.91,0.66
1948-Q1,2.241309396,2.096602555,0.99,0.7
1948-Q2,2.485752175,1.579532944,1,0.58
1948-Q3,2.389686488,1.669805278,1.05,0.61
1948-Q4,0.428419077,-0.92238661,1.14,0.74
1949-Q1,-1.906189707,-0.956030226,1.17,0.77
1949-Q2,-1.352606986,-0.108650241,1.17,0.76
1949-Q3,0.58715765,-0.839741257,1.04,0.77
1949-Q4,-0.845127205,-0.240623203,1.08,0.73
1950-Q1,3.694733906,-0.309014575,1.1,0.66
1950-Q2,3.322564763,0.76023511,1.15,0.66
1950-Q3,5.943003578,1.817852852,1.22,0.57
1950-Q4,3.753621327,2.004321024,1.34,0.53
1951-Q1,4.904287148,3.985445091,1.37,0.45
1951-Q2,2.379316235,0.968174242,1.49,0.55
1951-Q3,2.096874185,-0.053970703,1.6,0.62
1951-Q4,1.355187313,1.469882923,1.61,0.6
1952-Q1,1.004472731,0.379262411,1.57,0.55
1952-Q2,0.332594542,0.264630428,1.65,0.56
1952-Q3,1.836926223,0.677279934,1.78,0.57
1952-Q4,3.49695314,0.112435362,1.89,0.54
1953-Q1,1.896899803,-0.288838658,1.98,0.45
1953-Q2,0.973368341,0.37495357,2.15,0.46
1953-Q3,-0.153061254,0.459273066,1.96,0.59
1953-Q4,-1.336437264,0.174939095,1.47,0.61
1954-Q1,-0.155359948,0.234013813,1.06,0.65
1954-Q2,0.207093007,-0.159664368,0.79,0.59
1954-Q3,1.259171204,-0.260465264,0.88,0.58
1954-Q4,2.197335534,-0.309719075,1.02,0.55
1955-Q1,3.316849931,0.134453802,1.22,0.46
1955-Q2,2.00963701,-0.134453802,1.48,0.46
1955-Q3,2.039690921,0.074718874,1.86,0.46
1955-Q4,1.588614047,0.298318452,2.34,0.47
1956-Q1,0.614826029,0.011169648,2.33,0.5
1956-Q2,1.420062182,0.656810718,2.57,0.5
1956-Q3,1.157111264,1.030292074,2.58,0.51
1956-Q4,2.036641073,0.849331659,3.03,0.62
1957-Q1,1.995988573,0.820580454,3.1,0.77
1957-Q2,0.46639898,0.846034801,3.14,0.72
1957-Q3,1.573844258,0.888484059,3.35,0.81
1957-Q4,-0.962350523,0.483561643,3.31,1.22
1958-Q1,-1.546477171,1.17963459,1.76,1.05
1958-Q2,0.934983437,0.669362792,0.96,0.98
1958-Q3,2.897545075,-0.058779802,1.68,0.78
1958-Q4,2.775986175,0.103705762,2.69,0.77
1959-Q1,2.115748718,0.172604296,2.77,0.72
1959-Q2,2.530802512,0.172306887,3,0.58
1959-Q3,0.190585154,0.51514641,3.54,0.66
1959-Q4,0.777623644,0.60447907,4.23,0.7
1960-Q1,2.610627469,0.091888311,3.87,0.76
1960-Q2,-0.110497249,0.596915457,2.99,0.81
1960-Q3,0.606229468,0.057468352,2.36,0.76
1960-Q4,-0.90148711,0.640056084,2.31,0.75
1961-Q1,0.883170414,0.201274808,2.35,0.8
1961-Q2,2.084730626,-0.033517681,2.3,0.7
1961-Q3,1.919035437,0.391455407,2.3,0.67
1961-Q4,2.33094568,0.143484016,2.46,0.68
1962-Q1,2.31145573,0.38937101,2.72,0.65
1962-Q2,1.235614318,0.374625399,2.72,0.74
1962-Q3,1.154937768,0.287475209,2.84,0.71
1962-Q4,0.57250504,0.240578823,2.81,0.68
1963-Q1,1.553680711,0.318780361,2.91,0.69
1963-Q2,1.450802649,0.183576514,2.94,0.61
1963-Q3,2.067742843,0.610584236,3.29,0.53
1963-Q4,1.50795287,0.269817955,3.5,0.5
1964-Q1,2.458831167,0.411449886,3.53,0.45
1964-Q2,1.435042009,0.161524829,3.48,0.44
1964-Q3,1.747277999,0.225697339,3.5,0.4
1964-Q4,0.805064728,0.459490229,3.68,0.37
1965-Q1,2.934747863,0.310484701,3.89,0.36
1965-Q2,1.818732964,0.637147743,3.87,0.39
1965-Q3,2.401302485,0.294896604,3.87,0.39
1965-Q4,3.006856868,0.527372419,4.17,0.34
1966-Q1,3.082261318,0.93108499,4.61,0.4
1966-Q2,1.234044953,0.900851023,4.59,0.51
1966-Q3,1.670800538,0.862153938,5.04,0.6
1966-Q4,1.703248278,0.812218206,5.21,0.79
1967-Q1,1.320740241,0.255125423,4.51,0.72
1967-Q2,0.601027088,0.604834456,3.66,0.71
1967-Q3,1.804787882,0.999003313,4.3,0.75
1967-Q4,1.897416622,1.089565012,4.75,0.74
1968-Q1,3.11009852,0.978455512,5.05,0.74
1968-Q2,2.728327723,0.968974453,5.52,0.79
1968-Q3,1.694417326,1.343267289,5.2,0.82
1968-Q4,1.851904777,1.229552781,5.59,0.78
1969-Q1,2.574550746,1.21740634,6.09,0.66
1969-Q2,1.594612222,1.565730465,6.2,0.72
1969-Q3,2.01631574,1.363050299,7.02,0.91
1969-Q4,0.83948966,1.523547264,7.35,0.93
1970-Q1,1.22243906,1.587334916,7.21,0.79
1970-Q2,1.563414779,1.389255138,6.68,0.77
1970-Q3,1.704849964,1.030060868,6.33,1.3
1970-Q4,0.275229532,1.442167607,5.35,1.48
1971-Q1,4.154367633,0.837393147,3.84,1.25
1971-Q2,1.880605659,0.914841922,4.25,1.11
1971-Q3,1.786601353,0.98766235,5.01,1.15
1971-Q4,1.120530701,0.734397426,4.23,1.13
1972-Q1,3.312488733,0.808914568,3.44,1
1972-Q2,2.899679973,0.643895488,3.77,0.97
1972-Q3,1.84879871,0.797293917,4.22,0.87
1972-Q4,2.909794749,1.029665088,4.86,0.85
1973-Q1,3.590904482,1.55975059,5.7,0.74
1973-Q2,2.637468393,2.06984829,6.6,0.76
1973-Q3,1.34531177,1.95423933,8.32,1
1973-Q4,2.901537613,2.497567357,7.5,0.8
1974-Q1,1.049172311,2.932648251,7.62,0.61
1974-Q2,2.608355473,2.643399243,8.15,0.8
1974-Q3,1.885386426,2.77378189,8.19,0.94
1974-Q4,2.501393682,3.025871876,7.36,1.74
1975-Q1,1.030233155,2.114772085,5.75,1.81
1975-Q2,2.246736751,1.196984991,5.39,1.85
1975-Q3,3.406655456,1.985791104,6.33,1.66
1975-Q4,2.994734818,1.825967799,5.63,1.77
1976-Q1,3.264550146,1.138839478,4.92,1.6
1976-Q2,1.760245373,0.890477834,5.16,1.27
1976-Q3,1.793291372,1.583146522,5.15,1.02
1976-Q4,2.502154617,1.443286512,4.67,1.14
1977-Q1,2.752724116,1.818805304,4.63,1.02
1977-Q2,3.341293379,1.729883299,4.84,0.96
1977-Q3,2.974445837,1.375124719,5.5,0.88
1977-Q4,2.158038585,1.463036321,6.11,0.8
1978-Q1,1.827619747,1.705641349,6.39,0.75
1978-Q2,5.629277414,2.249506619,6.48,0.84
1978-Q3,2.631341765,2.300115202,7.31,0.73
1978-Q4,3.413496476,2.297298089,8.57,0.78
1979-Q1,1.970625021,2.487326475,9.38,0.89
1979-Q2,2.508176338,3.129700672,9.38,1.09
1979-Q3,2.829499663,3.170492985,9.67,1.1
1979-Q4,2.232971266,3.116465738,11.84,1.32
1980-Q1,2.381064869,3.869803019,13.35,1.49
1980-Q2,0.121506698,3.31885151,9.62,2.13
1980-Q3,2.123792257,1.858990194,9.15,1.68
1980-Q4,4.562164655,2.7655791,13.61,1.93
1981-Q1,4.516464775,2.727546606,14.39,2.01
1981-Q2,1.127157081,2.064226362,14.91,2.05
1981-Q3,2.921573587,2.746912331,15.05,1.43
1981-Q4,0.681470084,1.612643396,11.75,2.32
1982-Q1,-0.295853692,0.884449431,12.81,2.24
1982-Q2,1.741122847,1.434690631,12.42,2.11
1982-Q3,1.068922157,1.721116865,9.32,2.69
1982-Q4,1.201508203,0.306802036,7.91,2.31
1983-Q1,2.105157517,0.068390728,8.11,1.88
1983-Q2,2.930519302,1.149490421,8.4,1.63
1983-Q3,2.982588013,0.970730344,9.14,1.18
1983-Q4,2.772465381,0.994043971,8.8,1.18
1984-Q1,3.027900632,1.407457196,9.17,1.42
1984-Q2,2.578411716,0.938691472,9.8,1.5
1984-Q3,1.787172369,0.865806274,10.32,1.69
1984-Q4,1.462078261,0.858374369,8.8,1.27
1985-Q1,2.132561794,0.914137587,8.18,1.13
1985-Q2,1.529429178,0.904924208,7.46,1.46
1985-Q3,2.122675106,0.620083518,7.11,1.41
1985-Q4,1.322396838,1.014300997,7.17,1.42
1986-Q1,1.409259169,0.518835206,6.9,1.5
1986-Q2,0.857636299,-0.488564558,6.14,1.21
1986-Q3,1.403868372,0.609877858,5.52,1.31
1986-Q4,1.072246251,0.696746654,5.35,1.48
1987-Q1,1.420454265,1.19947269,5.54,1.25
1987-Q2,1.784995655,1.126900264,5.66,1.2
1987-Q3,1.625215776,1.055725185,6.04,1.13
1987-Q4,2.463039699,0.928578101,5.86,1.18
1988-Q1,1.342806409,0.7773201,5.72,1.18
1988-Q2,2.274259775,1.141158663,6.21,1.14
1988-Q3,1.747417692,1.211510927,7.01,1.08
1988-Q4,2.113556766,1.086512987,7.73,1.08
1989-Q1,2.096949808,1.129918166,8.54,0.87
1989-Q2,1.810766771,1.602969504,8.41,0.93
1989-Q3,1.467398464,0.779110667,7.84,0.9
1989-Q4,0.902838377,1.011718755,7.65,0.96
1990-Q1,2.186423353,1.706224929,7.76,0.84
1990-Q2,1.414207548,0.984724259,7.75,0.96
1990-Q3,0.913020121,1.712248493,7.48,1.08
1990-Q4,-0.102880668,1.68417098,6.99,1.38
1991-Q1,0.523257971,0.744788088,6.02,1.16
1991-Q2,1.454302797,0.591862167,5.56,0.95
1991-Q3,1.210174937,0.759096408,5.38,0.9
1991-Q4,0.974587037,0.82600813,4.54,0.95
1992-Q1,1.603497205,0.6758347,3.89,0.9
1992-Q2,1.732337796,0.76580834,3.68,0.83
1992-Q3,1.440524038,0.760698488,3.08,0.7
1992-Q4,1.672715358,0.871898124,3.07,0.83
1993-Q1,0.752654939,0.725362703,2.96,0.57
1993-Q2,1.199030406,0.7194451,2.97,0.74
1993-Q3,1.086381536,0.461805042,3,0.68
1993-Q4,1.845499748,0.825501534,3.06,0.76
1994-Q1,1.46095152,0.500911639,3.24,0.65
1994-Q2,1.85343461,0.566219442,3.99,0.68
1994-Q3,1.128440859,0.922306012,4.48,0.64
1994-Q4,1.677832872,0.58058134,5.28,0.64
1995-Q1,0.913333469,0.73179009,5.74,0.58
1995-Q2,0.786792352,0.813954528,5.6,0.6
1995-Q3,1.327135222,0.503006304,5.37,0.61
1995-Q4,1.199550047,0.543438824,5.26,0.67
1996-Q1,1.192933102,0.885463104,4.93,0.68
1996-Q2,2.111068332,0.855954652,5.02,0.69
1996-Q3,1.202196903,0.573798195,5.1,0.69
1996-Q4,1.557847644,0.865285634,4.98,0.69
1997-Q1,1.378158572,0.606976416,5.06,0.63
