Time,Y_G25,P_G25,I_G25,OilP_G25,Y_MX_G25,P_MX_G25,NEER_MX_G25,I_MX_G25,Y_W25,P_W25,I_W25,OIL_W25,Y_MX_W25,P_MX_W25,NEER_MX_W25,I_MX_W25,dummy_20q2,dummy_20q3
1998-Q4,2.471034101,-0.475070605,5.274650952,-10.72961373,0.1847541,5.012078546,-6.745837545,33.14,2.469634279,-0.474610866,5.274650952,-10.72961373,0.18472577,5.011902853,-6.745837545,33.14,0,0
1999-Q1,2.274329627,-0.12232075,5.002241348,-0.030048077,0.86586294,4.704129928,1.200592419,22.96,2.27484152,-0.122997799,5.002241348,-0.030048077,0.86521426,4.704399451,1.200592419,22.96,0,0
1999-Q2,2.621718529,0.293936678,5.067056308,38.20258491,0.74560282,3.031547168,6.1263263,21.01,2.620710235,0.293705458,5.067056308,38.20258491,0.7463863,3.031956914,6.1263263,21.01,0,0
1999-Q3,3.406006589,0.405634157,5.441675022,32.6446281,0.9363409,2.8638445,0.722056525,18.9,3.406980051,0.406354158,5.441675022,32.6446281,0.9361985,2.863355885,0.722056525,18.9,0,0
1999-Q4,2.715256768,0.594632118,6.137086014,18.29808165,1.01567812,2.23758899,-1.260715748,18.39,2.714055055,0.594943457,6.137086014,18.29808165,1.0159721,2.237513396,-1.260715748,18.39,0,0
2000-Q1,3.52687725,0.738724889,6.111985555,11.32363132,2.079443,2.074413574,1.12912679,13.87,3.526248005,0.736067896,6.111985555,11.32363132,2.0805856,2.075324288,1.12912679,13.87,0,0
2000-Q2,3.132107301,0.840596237,6.61923583,-0.871513944,1.25308237,2.177703124,-1.160201141,18.06,3.132249185,0.842371947,6.61923583,-0.871513944,1.25182663,2.176427396,-1.160202652,18.06,0,0
2000-Q3,3.383254927,0.61099672,6.699183665,14.31801055,1.08445675,2.236219239,3.018742042,15.89,3.382649984,0.611217841,6.699183665,14.31801055,1.08425697,2.236738198,3.018742159,15.89,0,0
2000-Q4,0.355006145,0.231856413,6.691740096,-2.515930565,-1.11001437,1.968561462,-0.687696013,18.79,0.35653731,0.23172206,6.691740096,-2.515930565,-1.10964424,1.968490533,-0.687697528,18.79,0,0
2001-Q1,-1.233714483,-0.038486038,5.336771864,-12.71272399,0.62084813,0.948584323,-2.000632688,16.32,-1.234602102,-0.037823543,5.336771864,-12.71272399,0.61964046,0.9490719,-2.000654415,16.32,0,0
2001-Q2,-2.805182959,-0.51878152,4.183873542,5.513234345,-0.7370283,1.65718865,6.911551953,10.25,-2.805685962,-0.519762167,4.183873542,5.513234345,-0.7359886,1.656423836,6.911557453,10.25,0,0
2001-Q3,-2.147070059,-0.538679316,3.45057403,-7.305433186,-0.212899062,1.257368825,-0.547491584,10.36,-2.147382844,-0.539124154,3.45057403,-7.305433186,-0.213127931,1.257779784,-0.547488051,10.36,0,0
2001-Q4,-1.138474212,-0.988698717,2.142449153,-23.40594059,-0.8499399,1.129696162,-0.135691861,8.04,-1.138773985,-0.988127908,2.142449153,-23.40594059,-0.84960654,1.129494582,-0.135700873,8.04,0,0
2002-Q1,2.467537119,-0.286394211,1.903886591,9.376077215,-0.62624041,0.662329246,2.303018135,7.11,2.467548276,-0.28630593,1.903886591,9.376077215,-0.6263982,0.661138644,2.303024055,7.11,0,0
2002-Q2,3.170148777,0.580380655,1.916595744,18.51560038,1.05703276,1.745274489,-4.546152251,8.13,3.169120199,0.580254345,1.916595744,18.51560038,1.05617211,1.748190818,-4.546158358,8.13,0,0
2002-Q3,1.220243244,0.735357896,1.809305673,7.352745646,0.94860231,1.593316254,-5.062014582,8.05,1.220989043,0.735782789,1.809305673,7.352745646,0.94925841,1.59180508,-5.062010572,8.05,0,0
2002-Q4,1.585054219,0.436435666,1.549002567,-0.21055239,0.22257509,1.147507298,-2.528398309,8.25,1.585696716,0.436535708,1.549002567,-0.21055239,0.22283246,1.147188488,-2.528401043,8.25,0,0
2003-Q1,-0.232884436,0.548561656,1.332079325,17.01625915,-0.05693852,0.925490906,-7.134837411,8.92,-0.232929509,0.548770996,1.332079325,17.01625915,-0.05798089,0.925933497,-7.134833304,8.92,0,0
2003-Q2,1.194578076,-0.321707681,1.235761571,-16.86465846,0.15620481,1.014905134,2.183660365,4.36,1.195546292,-0.32232149,1.235761571,-16.86465846,0.15742245,1.014716284,2.183653635,4.36,0,0
2003-Q3,1.635918472,0.210752475,1.129028649,8.867057923,0.03869441,0.911924233,-2.503642077,4.3,1.637462046,0.21134399,1.129028649,8.867057923,0.03825891,0.911985924,-2.503647417,4.3,0,0
2003-Q4,3.309395909,0.545031363,1.167014343,3.410289464,0.91339774,0.992266544,-5.466703534,6.12,3.309909524,0.545145271,1.167014343,3.410289464,0.91363819,0.991838,-5.466689666,6.12,0,0
