Time,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUK,GS5,GS10,BAAFFM
1959-03  ,7.717329323,11.27282052,17.16288658,82.4769,5.6,7.401964776,40,5.594415727,0,0.820155986,7.390181428,30.07459311,1.451440945,3.99,3.99,2.05
1959-04  ,7.797765463,-4.29167952,25.29517985,83.9922,5.2,6.929064251,40.2,5.568455468,0,2.382726025,7.371489295,19.91922833,1.620123887,4.12,4.12,1.9
1959-05  ,6.991531395,14.38117834,17.9413531,84.9159,5.1,5.142656485,40.3,5.542735028,3.609025277,0.594942997,7.311886164,17.93880095,-0.852424117,4.35,4.31,2.06
1959-06  ,3.72959665,4.375022374,1.369437069,84.7686,5,2.93198941,40.2,0,-3.609025277,3.415209878,7.31521839,-10.39687668,-0.85303007,4.5,4.34,1.65
1959-07  ,-0.702647788,-4.037915312,-29.08651388,82.9798,5.1,2.746430933,39.9,0,-3.619912247,2.518053137,7.344072851,46.69531108,-0.341381888,4.58,4.4,1.61
1959-08  ,-6.834319571,7.19148586,-41.35934376,79.4676,5.2,-10.48354624,40,0,-3.6308651,1.774273364,7.265429723,-6.849103703,-0.939301265,4.57,4.43,1.59
1959-09  ,0.945980236,12.00143352,-1.44704034,79.0489,5.5,2.068113359,40,0,14.45800622,3.098679865,7.339537695,-48.43938007,-2.479869763,4.9,4.68,1.42
1959-10  ,1.467688381,-8.187977292,-8.750784681,78.1537,5.7,-1.573240163,39.6,0,-10.82714112,2.943703181,7.211556733,-1.052170168,1.112299545,4.72,4.53,1.3
1959-11  ,9.115389143,-0.534491407,7.296744884,78.5051,5.8,6.191130826,39.6,0,-3.6308651,0.734798872,7.255591274,4.832362304,-1.540381741,4.75,4.53,1.26
1959-12  ,12.2361778,-1.337270991,71.97750071,83.5682,5.3,12.02147186,40,16.47623137,0,1.394879482,7.378383713,37.77076787,-1.842495586,5.01,4.69,1.29
1960-01  ,3.83144789,3.340387415,31.09866502,85.5616,5.2,2.213042823,40.1,10.85980262,3.6308651,-0.660530276,7.286191715,-21.11250974,0.600192932,4.92,4.72,1.35
1960-02  ,1.373730331,5.192507825,-10.72427811,84.6108,4.8,5.272697315,39.7,5.393267505,0,1.247363223,7.31521839,-47.4536832,1.499170297,4.69,4.49,1.37
1960-03  ,2.291706643,16.88589397,-10.8209848,83.2421,5.4,-1.299476115,39.5,5.369136474,10.82714112,0.65984422,7.011213987,-16.46235204,1.112458184,4.31,4.25,1.41
1960-04  ,4.110980988,18.45890267,-9.553402117,82.2593,5.2,7.88530023,39.8,-5.369136474,0,4.389713467,7.161622003,15.3862153,1.538626132,4.29,4.28,1.28
1960-05  ,2.883454039,-24.4999551,-1.371001653,81.4711,5.1,-7.42261352,39.6,5.369136474,0,1.240838285,7.147559271,-11.0320741,-1.495859868,4.49,4.35,1.43
1960-06  ,0.947152068,-0.263345587,-15.18029787,80.2236,5.4,-2.800879762,39.5,0,0,0.510560713,7.128495946,43.5325118,-1.412092092,4.12,4.15,1.94
1960-07  ,2.198566847,2.433744359,-4.175000705,79.7275,5.5,-0.927715547,39.6,5.345220419,3.587446618,2.112869008,7.087573706,-30.13420946,2.438025468,3.79,3.9,1.99
1960-08  ,-1.948579842,-1.117593967,-1.394901047,79.0505,5.6,-0.751533484,39.4,5.321516481,-3.587446618,2.036487549,7.203405521,14.31258623,0.768874835,3.62,3.8,2.1
1960-09  ,1.529160179,5.70851611,-12.6225247,77.9187,5.5,-0.995400936,39.1,0,0,0.726480226,7.00033446,-36.6539455,1.067065108,3.61,3.8,2.41
1960-10  ,3.544352279,5.811781828,-1.411300329,77.5287,6.1,-1.882457546,39.4,5.298021851,10.73032485,1.379101921,7.127693699,-23.88138518,-0.469391753,3.76,3.89,2.64
1960-11  ,-5.152941936,-4.176414026,-17.06118095,75.7724,6.1,-4.018393624,39,-5.298021851,0,4.055525888,7.127693699,38.24499519,0.85330303,3.81,3.93,2.64
1960-12  ,-5.483982232,-14.79916808,-23.13401397,74.2557,6.6,-4.880093631,38,0,-3.566124467,0.216874003,6.968850378,28.43278999,-2.647216871,3.67,3.84,3.12
1961-01  ,10.70670898,2.908451352,1.45934466,74.1095,6.6,-1.31812906,39.2,5.298021851,0,0.216834815,7.075808864,60.15677633,-0.427517907,3.67,3.84,3.65
1961-02  ,4.582480778,4.415282721,-1.45934466,73.512,6.9,-2.81984464,39.2,5.274733768,3.566124467,1.155791084,7.111512116,48.24671473,-2.782585126,3.66,3.78,2.53
1961-03  ,4.947724448,14.83961929,7.279040396,73.8637,6.9,2.283241996,39.1,0,-3.566124467,-0.722238963,7.17930797,37.06051135,-1.029049264,3.6,3.74,3
