Time,ipi,ZEW,DAX,ifoclimate,ifoexpectations,Retail,Manufacturingsales,Autprod,Worldtrade,WorldIP,ygdp
2000-02,4.4092,0.855,8.9417,0.9772,0.0974,4.5788,0.0768,0.076,4.1667,4.3593,4.4308
2000-03,4.4116,0.837,8.9358,0.9714,0.0898,4.5695,0.1041,0.137,4.1636,4.3618,4.4308
2000-04,4.4188,0.83,8.9112,0.9818,0.0831,4.5788,0.1225,-0.194,4.1573,4.3707,4.4308
2000-05,4.445,0.81,8.8692,0.9848,0.0848,4.5819,0.1199,0.202,4.14,4.3783,4.439
2000-06,4.4152,0.771,8.839,0.9709,0.0559,4.5685,0.1273,-0.035,4.1713,4.3795,4.439
2000-07,4.4368,0.719,8.8805,0.9658,0.0396,4.5695,0.1097,0.072,4.1667,4.382,4.439
2000-08,4.4427,0.677,8.8841,0.9659,0.034,4.5737,0.1014,-0.004,4.1589,4.3895,4.4388
2000-09,4.4427,0.408,8.8244,0.9616,0.0139,4.5623,0.1198,0.121,4.1526,4.387,4.4388
2000-10,4.4368,0.204,8.8647,0.9611,0.0101,4.5695,0.1406,0.078,4.1431,4.3895,4.4388
2000-11,4.4427,0.087,8.7597,0.9592,0.0105,4.5695,0.1339,0.066,4.1415,4.3932,4.4356
2000-12,4.4497,-0.001,8.7693,0.9564,-0.0037,4.5788,0.127,0.046,4.1542,4.3932,4.4356
2001-01,4.4415,-0.044,8.824,0.9465,-0.019,4.6022,0.1091,0.14,4.1573,4.3845,4.4356
2001-02,4.459,-0.061,8.7336,0.9352,-0.0542,4.5757,0.0977,0.121,4.151,4.3858,4.4555
2001-03,4.4379,-0.104,8.6708,0.9203,-0.092,4.585,0.065,0.078,4.1384,4.3808,4.4555
2001-04,4.4212,-0.045,8.7427,0.9117,-0.1107,4.5778,0.0324,-0.322,4.1255,4.3745,4.4555
2001-05,4.4368,-0.043,8.7198,0.8892,-0.1474,4.5778,0.029,0.172,4.119,4.372,4.455
2001-06,4.4356,-0.081,8.7092,0.8801,-0.1756,4.5726,-0.0041,-0.136,4.1092,4.3669,4.455
2001-07,4.4104,-0.019,8.6761,0.8754,-0.16,4.5737,0.0364,-0.078,4.1026,4.3605,4.455
2001-08,4.4368,0.114,8.5541,0.8707,-0.156,4.5726,-0.0003,0.002,4.119,4.3669,4.4533
2001-09,4.4248,0.137,8.3683,0.8426,-0.2267,4.5664,-0.0232,-0.058,4.1207,4.358,4.4533
2001-10,4.4079,0.098,8.4249,0.8377,-0.2179,4.5528,-0.0286,-0.144,4.101,4.3529,4.4533
2001-11,4.3994,0.131,8.5152,0.8457,-0.1858,4.5829,-0.0424,-0.235,4.0877,4.3516,4.4523
2001-12,4.4067,0.258,8.5487,0.8599,-0.1486,4.5654,-0.0394,-0.105,4.0877,4.3477,4.4523
2002-01,4.4018,0.359,8.5385,0.847,-0.1882,4.5465,-0.0299,-0.228,4.0826,4.3541,4.4523
2002-02,4.4092,0.502,8.525,0.861,-0.0856,4.5444,-0.0213,-0.465,4.0775,4.358,4.447
