Time,US_YER,US_HICSA,US_STN,Oil
1971-Q1,2.67,4.7,3.86,2.23
1971-Q2,2.18,3.19,4.56,2.55
1971-Q3,3.99,2.74,5.47,3.45
1971-Q4,1.64,2.64,4.75,3.42
1972-Q1,2.85,2.53,3.54,3.4
1972-Q2,4.36,2.19,4.3,3.67
1972-Q3,4.99,2.25,4.74,3.64
1972-Q4,4.85,2.47,5.14,3.62
1973-Q1,4.99,3.39,6.54,3.62
1973-Q2,5.21,4.66,7.82,3.78
1973-Q3,3.02,5.58,10.56,4.25
1973-Q4,1.51,6.52,10,4.58
1974-Q1,-0.45,7.38,9.32,4.6
1974-Q2,0.35,8.07,11.25,15.5
1974-Q3,-1.54,8.35,12.09,13
1974-Q4,-1.11,8.44,9.35,11.5
1975-Q1,-2.59,7.91,6.3,11.7
1975-Q2,-0.85,6.34,5.42,11.5
1975-Q3,1.19,5.3,6.16,11.4
1975-Q4,3.75,5.01,5.41,11.5
1976-Q1,5.21,4.95,4.83,11.6
1976-Q2,4.32,3.86,5.2,12.9
1976-Q3,3.5,3.61,5.28,12.95
1976-Q4,2.01,3.92,4.87,13.15
1977-Q1,2.41,4.85,4.66,13.56
1977-Q2,3.85,4.99,5.16,14.45
1977-Q3,4.86,4.92,5.82,14.45
1977-Q4,3.71,4.57,6.51,14.28
1978-Q1,2.11,4.54,6.76,14.05
1978-Q2,4.17,5.42,7.28,13.95
1978-Q3,5.13,6.26,8.1,13.95
1978-Q4,6.12,6.85,9.58,14.09
1979-Q1,2.51,7.09,10.07,16.25
1979-Q2,1.65,7.91,10.18,23.25
1979-Q3,1.04,8.79,10.95,36.5
1979-Q4,1.09,9.42,13.58,36.5
1980-Q1,1.3,10.16,15.05,40.5
1980-Q2,-1.47,10.31,12.69,38.25
1980-Q3,-1.88,9.05,9.84,38
1980-Q4,-0.36,7.94,15.85,33.4
1981-Q1,3.73,7.35,16.57,40.15
1981-Q2,3.15,7.56,17.78,38.35
1981-Q3,2.46,7.54,17.58,33.25
1981-Q4,-0.76,6.42,13.59,35.91
1982-Q1,-1.71,5.24,14.23,36.7
1982-Q2,-2.31,3.93,14.51,29.3
1982-Q3,-1.51,4.04,11.01,34.6
1982-Q4,0.28,3.46,9.29,34.25
1983-Q1,1.04,2.1,8.65,31.75
1983-Q2,3.66,1.52,8.8,28.2
1983-Q3,5.5,2.19,9.46,30.2
1983-Q4,6.23,3.11,9.43,30.35
1984-Q1,5.95,3.37,9.69,28.95
1984-Q2,5.75,3.34,10.56,30.08
1984-Q3,4.69,3.21,11.39,29.2
1984-Q4,3.51,2.66,9.27,28.36
1985-Q1,2.76,2.64,8.48,26.98
1985-Q2,2.69,2.68,7.92,28.1
1985-Q3,3.44,2.44,7.9,26.45
1985-Q4,3.2,2.54,8.1,27.15
1986-Q1,3.21,2.15,7.83,26.3
1986-Q2,2.13,1.04,6.92,11.6
1986-Q3,2.38,0.64,6.21,11.5
1986-Q4,1.98,0.82,6.27,14.05
1987-Q1,2.22,2.51,6.22,18.15
1987-Q2,2.33,3.02,6.65,18.45
1987-Q3,2.71,3.38,6.84,19.08
1987-Q4,3.65,3.11,6.92,18.48
1988-Q1,3.1,2.76,6.66,17.6
1988-Q2,3.51,2.85,7.16,15.65
1988-Q3,2.45,3.13,7.98,14.18
1988-Q4,3.2,3.44,8.47,11.93
1989-Q1,2.89,3.43,9.44,16.23
1989-Q2,3.1,3.82,9.73,20.45
1989-Q3,2.53,3.51,9.08,18.28
1989-Q4,1.74,3.39,8.61,18.23
1990-Q1,2.05,3.5,8.25,21.05
1990-Q2,1.68,3.7,8.24,18.29
1990-Q3,1.5,4.4,8.16,16.29
1990-Q4,-0.44,4.38,7.74,39.06
1991-Q1,-1.3,4.14,6.43,27.76
1991-Q2,-0.55,3.02,5.86,18.16
1991-Q3,0.78,2.1,5.64,18.34
1991-Q4,1.69,2.18,4.82,20.99
1992-Q1,2.09,2.26,4.02,17.79
1992-Q2,2.71,2.27,3.77,18.04
1992-Q3,3.24,2.2,3.26,20.74
1992-Q4,3.06,2.4,3.04,20.26
1993-Q1,2.15,2.36,3.04,17.81
1993-Q2,1.78,2.32,3,18.86
1993-Q3,1.27,1.91,3.06,17.64
1993-Q4,2.41,2.01,2.99,17.49
1994-Q1,2.79,1.79,3.21,13.32
1994-Q2,3.66,1.89,3.94,13.3
1994-Q3,2.92,1.99,4.49,16.9
1994-Q4,3.07,2.07,5.17,16.91
1995-Q1,2.06,2.23,5.81,16.23
1995-Q2,1.82,2.13,6.02,17.88
1995-Q3,1.54,2.05,5.8,16.35
1995-Q4,1.91,1.86,5.72,16.65
1996-Q1,2.22,1.93,5.36,18.65
1996-Q2,3.09,2.29,5.24,20.68
1996-Q3,3.31,2.32,5.31,19.77
1996-Q4,3.7,2.3,5.28,23.18
1997-Q1,2.73,2.05,5.28,23.9
1997-Q2,3.31,1.7,5.52,18.15
1997-Q3,3.52,1.34,5.53,18.65
1997-Q4,3.54,1.27,5.51,19.87
1998-Q1,3.02,1.24,5.52,15.86
1998-Q2,2.72,1.07,5.5,13.72
1998-Q3,3.25,1.05,5.53,11.87
1998-Q4,3.89,1.31,4.86,14.27
1999-Q1,3.72,1.34,4.73,10.54
1999-Q2,3.24,1.58,4.75,14.57
1999-Q3,2.87,1.85,5.09,17.27
1999-Q4,3.79,2.22,5.31,22.91
2000-Q1,3.26,2.46,5.68,24.93
2000-Q2,3.88,2.5,6.27,24.62
2000-Q3,2.28,2.68,6.52,32.2
2000-Q4,2.56,2.4,6.47,30.7
2001-Q1,0.4,2.57,5.59,22.58
2001-Q2,0.81,2.36,4.33,23.5
2001-Q3,-0.07,1.93,3.5,25.67
2001-Q4,0.49,0.91,2.13,21.52
2002-Q1,0.88,0.53,1.73,19.35
2002-Q2,1.75,1.03,1.75,25.16
2002-Q3,1.95,1.64,1.74,25.51
2002-Q4,1.1,1.91,1.44,29.28
2003-Q1,1.06,2.15,1.25,30.12
2003-Q2,1.5,1.45,1.25,26.85
2003-Q3,3.1,1.6,1.02,28.54
2003-Q4,3.75,0.96,1,28.37
2004-Q1,3.4,1.97,1,30.3
2004-Q2,2.47,2,1.01,32.54
2004-Q3,2.21,2.26,1.43,35.65
2004-Q4,2.5,2.49,1.95,46.72
2005-Q1,2.83,2.21,2.47,40.38
2005-Q2,2.44,2.25,2.94,53.32
2005-Q3,2.42,2.68,3.46,56.16
2005-Q4,1.93,3.1,3.98,60.79
2006-Q1,2.6,2.95,4.46,58.7
2006-Q2,2.06,2.35,4.91,67.53
2006-Q3,1.58,2.36,5.25,74.44
2006-Q4,1.17,1.43,5.25,58.2
2007-Q1,0.93,1.5,5.26,58.51
2007-Q2,1.6,1.69,5.25,69.99
2007-Q3,1.49,2.73,5.07,73.95
2007-Q4,1.79,2.98,4.5,79.43
2008-Q1,0.34,2.93,3.18,94.33
2008-Q2,0.17,3.59,2.09,98.79
2008-Q3,-0.67,3.9,1.94,140.32
2008-Q4,-2.12,0.51,0.51,92.6
2009-Q1,-4.01,-1.48,0.18,36.17
2009-Q2,-3.67,-2.48,0.18,45.97
2009-Q3,-1.21,0.7,0.16,68.77
2009-Q4,1.15,2.17,0.12,67.47
2010-Q1,1.72,1.79,0.13,78.26
2010-Q2,2.36,0.9,0.19,82.14
2010-Q3,2.07,0.42,0.19,72.28
2010-Q4,2.26,1.06,0.19,82.79
2011-Q1,0.91,2.16,0.16,96.83
2011-Q2,0.97,3,0.09,119.25
2011-Q3,0.55,2.84,0.08,110.37
2011-Q4,2.06,2.23,0.07,105.91
2012-Q1,1.99,1.68,0.1,109.19
2012-Q2,2.25,1.23,0.15,125.29
2012-Q3,1.25,1.19,0.14,95.54
2012-Q4,0.61,1.32,0.16,113.03
2013-Q1,0.62,1.51,0.14,111.6
2013-Q2,0.77,0.98,0.12,109.92
2013-Q3,1.48,0.78,0.08,103.39
2013-Q4,1.95,0.84,0.09,109.07
2014-Q1,1.44,1.55,0.07,110.5
2014-Q2,1.82,1.51,0.09,106.15
2014-Q3,1.93,1.28,0.09,110.89
2014-Q4,2.68,0.62,0.1,94.32
