Time,YER ,HICSA, STN,Oil
1970-Q2,1.903950081,1.025009811,7.958577083,2.23
1970-Q3,1.197557233,0.997529768,7.604220885,2.55
1970-Q4,1.204103856,0.932673555,7.244340483,3.45
1971-Q1,-0.175001976,1.773010478,6.518930292,3.42
1971-Q2,1.272880435,1.544608846,5.940669608,3.40
1971-Q3,1.547553939,1.345783125,6.228244641,3.67
1971-Q4,0.792224703,1.179604282,6.007855375,3.64
1972-Q1,1.470941305,1.49933138,5.048632986,3.62
1972-Q2,0.671088279,1.301214491,4.755710013,3.62
1972-Q3,1.358104589,1.844856893,4.859364934,3.78
1972-Q4,1.453215223,1.845803332,6.396875047,4.25
1973-Q1,1.906944559,1.746706392,6.793394856,4.58
1973-Q2,1.205203179,2.065103327,8.487465451,4.60
1973-Q3,1.363905735,1.770188682,10.21323211,15.50
1973-Q4,1.086684134,2.328443163,11.08459504,13.00
1974-Q1,0.985215015,2.672385602,11.22897844,11.50
1974-Q2,0.180783514,2.641444827,11.46751866,11.70
1974-Q3,0.678931305,2.419053259,11.52618377,11.50
1974-Q4,-1.606251841,2.501398118,10.66181223,11.40
1975-Q1,-0.937704895,2.176605128,8.815967257,11.50
1975-Q2,0.5149945,2.116837905,7.057344806,11.60
1975-Q3,0.889319716,1.784607952,6.384315396,12.90
1975-Q4,1.051142427,1.640137734,6.600897008,12.95
1976-Q1,1.619543928,1.919773022,7.002805819,13.15
1976-Q2,1.277821057,2.045170511,8.569846783,13.56
1976-Q3,0.838287872,1.471326591,9.35052204,14.45
1976-Q4,1.59339581,1.894859726,9.207709972,14.45
1977-Q1,0.411388223,1.818241659,10.21646391,14.28
1977-Q2,0.134646632,2.004817864,9.373845674,14.05
1977-Q3,0.078553037,1.671213445,9.000516302,13.95
1977-Q4,1.189037098,1.276588556,9.131893389,13.95
1978-Q1,0.640971576,1.171030439,8.059117379,14.09
1978-Q2,1.134536903,1.606657827,7.91138801,16.25
1978-Q3,0.467250975,1.502457847,9.174153142,23.25
1978-Q4,1.183871977,1.205937576,9.13879664,36.50
1979-Q1,0.509453337,1.707228454,7.69905671,36.50
1979-Q2,1.589281938,1.945367268,9.352498976,40.50
1979-Q3,0.508832924,2.324493758,11.02411222,38.25
1979-Q4,0.945340107,2.015704855,12.69572447,38.00
1980-Q1,0.93939144,2.383421133,12.73713897,33.40
1980-Q2,-0.470662293,2.400866535,13.23912238,40.15
1980-Q3,-0.057021145,2.056840859,12.24106132,38.35
1980-Q4,0.046961862,2.155067833,12.66533134,33.25
1981-Q1,0.096441256,2.649731311,13.43491412,35.91
1981-Q2,0.299107337,2.431748676,15.50990737,36.70
1981-Q3,0.275518617,2.547758368,16.13544726,29.30
1981-Q4,0.234369756,2.374121909,15.42834125,34.60
1982-Q1,0.412432041,2.030483815,14.33335125,34.25
1982-Q2,0.134411424,2.151214627,14.4020733,31.75
1982-Q3,-0.534805778,1.934657072,13.35156936,28.20
1982-Q4,0.042891942,1.677374692,12.60864917,30.20
