Time,DOM_GDP,DOM_CPI,STN,Oil
1973-Q1,,,,
1974-Q1,-0.449405847,7.38369621,9.32,4.6
1974-Q2,0.35413937,8.072928511,11.25,15.5
1974-Q3,-1.542295265,8.34977125,12.09,13
1974-Q4,-1.113762627,8.442405342,9.35,11.5
1975-Q1,-2.588827482,7.914478077,6.3,11.7
1975-Q2,-0.851386771,6.336961393,5.42,11.5
1975-Q3,1.194952431,5.297581598,6.16,11.4
1975-Q4,3.745756253,5.008774873,5.41,11.5
1976-Q1,5.20954926,4.950598381,4.83,11.6
1976-Q2,4.324490904,3.85589936,5.2,12.9
1976-Q3,3.498085642,3.613066969,5.28,12.95
1976-Q4,2.008736534,3.917484265,4.87,13.15
1977-Q1,2.408409313,4.845238339,4.66,13.56
1977-Q2,3.847689191,4.992528521,5.16,14.45
1977-Q3,4.855421753,4.922694077,5.82,14.45
1977-Q4,3.710146626,4.567506417,6.51,14.28
1978-Q1,2.10844128,4.543777807,6.76,14.05
1978-Q2,4.172560103,5.418213078,7.28,13.95
1978-Q3,5.129994065,6.255295788,8.1,13.95
1978-Q4,6.120886821,6.846391088,9.58,14.09
1979-Q1,2.505797187,7.085256827,10.07,16.25
1979-Q2,1.653137209,7.914830541,10.18,23.25
1979-Q3,1.035058359,8.787520132,10.95,36.5
1979-Q4,1.094529061,9.4170978,13.58,36.5
1980-Q1,1.295754539,10.15718351,15.05,40.5
1980-Q2,-1.465864757,10.30512027,12.69,38.25
1980-Q3,-1.881049969,9.0476068,9.84,38
1980-Q4,-0.362352615,7.942609481,15.85,33.4
1981-Q1,3.727673616,7.352494975,16.57,40.15
1981-Q2,3.152149948,7.556580253,17.78,38.35
1981-Q3,2.455304137,7.538713587,17.58,33.25
1981-Q4,-0.762438644,6.423047521,13.59,35.91
1982-Q1,-1.714887689,5.244376491,14.23,36.7
1982-Q2,-2.313891836,3.931797387,14.51,29.3
1982-Q3,-1.505536393,4.040953834,11.01,34.6
1982-Q4,0.277598032,3.462949901,9.29,34.25
1983-Q1,1.039065641,2.096656972,8.65,31.75
1983-Q2,3.656803107,1.524678019,8.8,28.2
1983-Q3,5.495196628,2.188271125,9.46,30.2
1983-Q4,6.234713969,3.114264736,9.43,30.35
1984-Q1,5.948744096,3.372220361,9.69,28.95
1984-Q2,5.749849206,3.340192638,10.56,30.08
1984-Q3,4.687311932,3.211954942,11.39,29.2
1984-Q4,3.511449863,2.662547018,9.27,28.36
1985-Q1,2.763551639,2.638004554,8.48,26.98
1985-Q2,2.694508116,2.677747013,7.92,28.1
1985-Q3,3.444584196,2.439145312,7.9,26.45
1985-Q4,3.203983618,2.539622398,8.1,27.15
1986-Q1,3.211345004,2.152604643,7.83,26.3
1986-Q2,2.129939907,1.044877361,6.92,11.6
1986-Q3,2.382956283,0.640148505,6.21,11.5
1986-Q4,1.979255127,0.818062432,6.27,14.05
1987-Q1,2.215680705,2.505791484,6.22,18.15
1987-Q2,2.327490635,3.022824797,6.65,18.45
1987-Q3,2.713614474,3.382108173,6.84,19.08
1987-Q4,3.654630685,3.111492567,6.92,18.48
1988-Q1,3.098153295,2.762204976,6.66,17.6
1988-Q2,3.512006208,2.847065052,7.16,15.65
1988-Q3,2.449024203,3.129700672,7.98,14.18
1988-Q4,3.204994083,3.438895797,8.47,11.93
1989-Q1,2.892802256,3.427951634,9.44,16.23
1989-Q2,3.100269151,3.819670272,9.73,20.45
1989-Q3,2.531896932,3.511998337,9.08,18.28
1989-Q4,1.74155302,3.393808069,8.61,18.23
1990-Q1,2.046003218,3.497045086,8.25,21.05
1990-Q2,1.684184151,3.702667942,8.24,18.29
1990-Q3,1.49825617,4.403715932,8.16,16.29
1990-Q4,-0.443578925,4.380634192,7.74,39.06
1991-Q1,-1.299942103,4.14096022,6.43,27.76
1991-Q2,-0.553622273,3.020321932,5.86,18.16
1991-Q3,0.778318475,2.095995853,5.64,18.34
1991-Q4,1.686652219,2.17745606,4.82,20.99
1992-Q1,2.091162503,2.260944735,4.02,17.79
1992-Q2,2.707738721,2.26788972,3.77,18.04
1992-Q3,3.238760734,2.202099515,3.26,20.74
1992-Q4,3.056968893,2.398880024,3.04,20.26
1993-Q1,2.149421002,2.357487775,3.04,17.81
1993-Q2,1.77515676,2.316705928,3,18.86
1993-Q3,1.267658317,1.906147903,3.06,17.64
1993-Q4,2.407127587,2.006756305,2.99,17.49
1994-Q1,2.791885271,1.788218214,3.21,13.32
1994-Q2,3.660755013,1.893088808,3.94,13.3
1994-Q3,2.919587563,1.989665455,4.49,16.9
1994-Q4,3.070824299,2.068884226,5.17,16.91
1995-Q1,2.055319641,2.234230558,5.81,16.23
1995-Q2,1.818449438,2.126325958,6.02,17.88
1995-Q3,1.543868147,2.048755435,5.8,16.35
1995-Q4,1.908934636,1.860620601,5.72,16.65
1996-Q1,2.215929817,1.931693271,5.36,18.65
1996-Q2,3.094024528,2.285074636,5.24,20.68
1996-Q3,3.306212749,2.315215952,5.31,19.77
1996-Q4,3.703002745,2.295043359,5.28,23.18
1997-Q1,2.727986912,2.046269057,5.28,23.9
1997-Q2,3.309697218,1.701900517,5.52,18.15
1997-Q3,3.520433796,1.335579118,5.53,18.65
1997-Q4,3.537171104,1.265708359,5.51,19.87
1998-Q1,3.020098982,1.242252,5.52,15.86
1998-Q2,2.72415228,1.072175219,5.5,13.72
1998-Q3,3.250663551,1.046056098,5.53,11.87
1998-Q4,3.894481415,1.308277041,4.86,14.27
1999-Q1,3.722957427,1.344489595,4.73,10.54
1999-Q2,3.24198429,1.578980173,4.75,14.57
1999-Q3,2.867387871,1.851159501,5.09,17.27
1999-Q4,3.790763119,2.221201874,5.31,22.91
2000-Q1,3.263232773,2.459953442,5.68,24.93
2000-Q2,3.879769029,2.500376346,6.27,24.62
2000-Q3,2.281614209,2.675157087,6.52,32.2
2000-Q4,2.556213052,2.400889765,6.47,30.7
2001-Q1,0.402606386,2.572118763,5.59,22.58
2001-Q2,0.812074926,2.361115016,4.33,23.5
2001-Q3,-0.07258612,1.932610358,3.5,25.67
2001-Q4,0.489183725,0.905495717,2.13,21.52
2002-Q1,0.877308547,0.525526735,1.73,19.35
2002-Q2,1.746304627,1.026798903,1.75,25.16
2002-Q3,1.954764283,1.639075622,1.74,25.51
2002-Q4,1.098264382,1.90976417,1.44,29.28
2003-Q1,1.064644146,2.149830155,1.25,30.12
2003-Q2,1.5014837,1.448902009,1.25,26.85
2003-Q3,3.101659608,1.603240753,1.02,28.54
2003-Q4,3.747426439,0.958849499,1,28.37
2004-Q1,3.396643197,1.965266532,1,30.3
2004-Q2,2.466999567,2.004003369,1.01,32.54
2004-Q3,2.207724281,2.260888469,1.43,35.65
2004-Q4,2.496791141,2.486242847,1.95,46.72
2005-Q1,2.825518115,2.207517813,2.47,40.38
2005-Q2,2.442664548,2.245329729,2.94,53.32
2005-Q3,2.419175847,2.680572869,3.46,56.16
2005-Q4,1.927513245,3.104991844,3.98,60.79
2006-Q1,2.599140699,2.950866981,4.46,58.7
2006-Q2,2.060900596,2.345952089,4.91,67.53
2006-Q3,1.582010051,2.357346876,5.25,74.44
2006-Q4,1.167365663,1.42693644,5.25,58.2
2007-Q1,0.930569283,1.504198072,5.26,58.51
2007-Q2,1.603208079,1.690793358,5.25,69.99
2007-Q3,1.494538056,2.732826507,5.07,73.95
2007-Q4,1.790208655,2.976385312,4.5,79.43
2008-Q1,0.341761073,2.927560962,3.18,94.33
2008-Q2,0.168550639,3.589091413,2.09,98.79
2008-Q3,-0.671942991,3.900026266,1.94,140.32
2008-Q4,-2.120431843,0.505839631,0.51,92.6
2009-Q1,-4.011608568,-1.476954527,0.18,36.17
2009-Q2,-3.665718561,-2.476720609,0.18,45.97
2009-Q3,-1.206380488,0.696814974,0.16,68.77
2009-Q4,1.15365146,2.166945651,0.12,67.47
2010-Q1,1.721013182,1.79497533,0.13,78.26
2010-Q2,2.357700021,0.902986587,0.19,82.14
2010-Q3,2.066251082,0.415820134,0.19,72.28
2010-Q4,2.263838894,1.06390554,0.19,82.79
2011-Q1,0.912681175,2.160744386,0.16,96.83
2011-Q2,0.965310225,2.99862468,0.09,119.25
2011-Q3,0.547390587,2.842110388,0.08,110.37
2011-Q4,2.056497806,2.22844534,0.07,105.91
2012-Q1,1.992087223,1.681773121,0.1,109.19
2012-Q2,2.246042889,1.233479803,0.15,125.29
2012-Q3,1.245632895,1.191449304,0.14,95.54
2012-Q4,0.607650946,1.315724508,0.16,113.03
2013-Q1,0.615194869,1.50999672,0.14,111.6
2013-Q2,0.774585171,0.981952637,0.12,109.92
2013-Q3,1.483955642,0.77986111,0.08,103.39
2013-Q4,1.950168791,0.842544891,0.09,109.07
2014-Q1,1.437325386,1.546077942,0.07,110.5
2014-Q2,1.822616769,1.514120875,0.09,106.15
2014-Q3,1.930290154,1.283036682,0.09,110.89
2014-Q4,2.678003206,0.623552252,0.1,94.32
2015-Q1,,,,
